"","TL0_keTL0_thy","TL0_negroot_thy","TL0_posroot_thy","T0_thy","Ttot_thy","Lss_thy","Dss_thy","SCIM_thy_keTL0","SCIM_thy_keTL_negroot","SCIM_thy_keTL_posroot","AFIR_thy","param.to.change","fold.change.param","TL0_sim","T0_sim","Ttot_sim","L_sim","D_sim","SCIM_sim","time_idx","TLss","param.to.change1","fold.change.param1","param","drug"
"69",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.0142214,NA,0,0.0149589,0.0458871,0.00562341,0.366661,0.499994,0.259026,7.33329,6881.56,0.014671,314.9,0.00537926,0.0458871,0.00562341,"kon_DT","Pembro"
"70",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.00385236,NA,0,0.00390451,0.175802,0.0215443,0.366661,0.499994,0.252382,7.33332,6881.37,0.00387203,314.9,0.00141972,0.175802,0.0215443,"kon_DT","Pembro"
"71",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.00101555,NA,0,0.00101914,0.67353,0.0825404,0.366661,0.499994,0.250624,7.33333,6881.32,0.00101361,314.9,0.000371651,0.67353,0.0825404,"kon_DT","Pembro"
"72",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.000265766,NA,0,0.000266011,2.58042,0.316228,0.366661,0.499994,0.250163,7.33333,6881.3,0.00026477,314.9,9.70807e-05,2.58042,0.316228,"kon_DT","Pembro"
"73",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,6.94163e-05,NA,0,6.9433e-05,9.88607,1.21153,0.366661,0.499994,0.250043,7.33333,6881.3,6.91228e-05,314.9,2.53446e-05,9.88607,1.21153,"kon_DT","Pembro"
"74",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,1.8122e-05,NA,0,1.81231e-05,37.8754,4.64159,0.366661,0.499994,0.250011,7.33333,6881.3,1.80431e-05,314.9,6.61568e-06,37.8754,4.64159,"kon_DT","Pembro"
"75",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,4.73034e-06,NA,0,4.73042e-06,145.108,17.7828,0.366661,0.499994,0.250003,7.33333,6881.3,4.70956e-06,314.9,1.72681e-06,145.108,17.7828,"kon_DT","Pembro"
"76",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,1.23471e-06,NA,0,1.23471e-06,555.934,68.1292,0.366661,0.499994,0.250001,7.33333,6881.3,1.23579e-06,314.9,4.53117e-07,555.934,68.1292,"kon_DT","Pembro"
"77",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,3.22279e-07,NA,0,3.2228e-07,2129.89,261.016,0.366661,0.499994,0.25,7.33333,6881.31,3.20863e-07,314.9,1.17648e-07,2129.89,261.016,"kon_DT","Pembro"
"78",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,8.412e-08,NA,0,8.412e-08,8160,1000,0.366661,0.499994,0.25,7.33333,6881.3,8.37498e-08,314.9,3.07077e-08,8160,1000,"kon_DT","Pembro"
"79",2.14286e-07,9.99181e-12,116.677,2e-07,2e-05,0.01,8822.94,0.203548,0.204151,1.74828e-14,0.20441,1.4e-06,1e-04,9.9991e-12,1.99991e-07,1.71753e-05,0.01,8827.77,0.173549,314.9,1.73533e-12,1.4e-06,1e-04,"ksynT","VEGFR1"
"80",8.20969e-07,3.83125e-11,116.677,7.66237e-07,7.66237e-05,0.01,8822.94,0.203548,0.203981,6.69797e-14,0.20441,5.36366e-06,0.000383119,3.83084e-11,7.66205e-07,6.58008e-05,0.01,8827.83,0.174352,314.9,6.67917e-12,5.36366e-06,0.000383119,"ksynT","VEGFR1"
"81",3.14528e-06,1.4677e-10,116.677,2.9356e-06,0.00029356,0.01,8822.94,0.203548,0.203998,2.56612e-13,0.20441,2.05492e-05,0.0014678,1.46767e-10,2.93547e-06,0.000252095,0.01,8827.8,0.174353,314.9,2.55892e-11,2.05492e-05,0.0014678,"ksynT","VEGFR1"
"82",1.20502e-05,5.62295e-10,116.677,1.12468e-05,0.00112468,0.01,8822.94,0.203548,0.204001,9.83128e-13,0.20441,7.87278e-05,0.00562341,5.62292e-10,1.12463e-05,0.000965819,0.01,8827.83,0.174348,314.9,9.80346e-11,7.87278e-05,0.00562341,"ksynT","VEGFR1"
"83",4.61665e-05,2.15424e-09,116.677,4.30887e-05,0.00430887,0.01,8822.94,0.203548,0.204002,3.76655e-12,0.20441,0.000301621,0.0215443,2.15424e-09,4.30868e-05,0.00370025,0.01,8827.82,0.174354,314.9,3.75601e-10,0.000301621,0.0215443,"ksynT","VEGFR1"
"84",0.000176872,8.25329e-09,116.677,0.000165081,0.0165081,0.01,8822.94,0.203548,0.204003,1.44303e-11,0.20441,0.00115557,0.0825404,8.2533e-09,0.000165074,0.0141763,0.01,8827.81,0.174352,314.9,1.43898e-09,0.00115557,0.0825404,"ksynT","VEGFR1"
"85",0.000677631,3.16197e-08,116.678,0.000632456,0.0632456,0.01,8822.94,0.203548,0.204003,5.5285e-11,0.20441,0.00442719,0.316228,3.16198e-08,0.000632428,0.0543121,0.00999999,8827.76,0.174354,314.9,5.51304e-09,0.00442719,0.316228,"ksynT","VEGFR1"
"86",0.00259613,1.21139e-07,116.68,0.00242306,0.242306,0.01,8822.94,0.203548,0.204007,2.11803e-10,0.20441,0.0169614,1.21153,1.21139e-07,0.00242295,0.208079,0.00999996,8827.57,0.17436,314.9,2.11218e-08,0.0169614,1.21153,"ksynT","VEGFR1"
"87",0.00994626,4.64074e-07,116.688,0.00928318,0.928318,0.01,8822.94,0.203548,0.204021,8.11403e-10,0.20441,0.0649822,4.64159,4.64075e-07,0.00928278,0.797183,0.00999984,8826.82,0.174382,314.9,8.09266e-08,0.0649822,4.64159,"ksynT","VEGFR1"
"88",0.038106,1.77749e-06,116.719,0.0355656,3.55656,0.01,8822.94,0.203548,0.204075,3.10782e-09,0.20441,0.248959,17.7828,1.77749e-06,0.0355641,3.05404,0.00999938,8823.98,0.17447,314.9,3.10118e-07,0.248959,17.7828,"ksynT","VEGFR1"
"89",0.145991,6.80304e-06,116.836,0.136258,13.6258,0.01,8822.94,0.203548,0.20428,1.18947e-08,0.20441,0.953809,68.1292,6.80304e-06,0.136253,11.6989,0.00999763,8813.09,0.174804,314.9,1.1892e-06,0.953809,68.1292,"ksynT","VEGFR1"
